FORMULARY_ID,FORMULARY_VERSION,CONTRACT_YEAR,RXCUI,NDC,TIER_LEVEL_VALUE,QUANTITY_LIMIT_YN,QUANTITY_LIMIT_AMOUNT,QUANTITY_LIMIT_DAYS,PRIOR_AUTHORIZATION_YN,STEP_THERAPY_YN,SELECTED_DRUG_YN
00026356,11,2026,1651275,00597015561,3,Y,4,30,N,N,N
00026356,11,2026,1664321,00597015960,3,Y,60,30,N,N,N
00026356,11,2026,1667882,00597016061,3,Y,4,30,N,N,N
00026356,11,2026,1602120,00597016430,3,Y,30,30,N,N,N
00026356,11,2026,1665369,00597016860,3,Y,60,30,N,N,N
00026356,11,2026,1664328,00597017560,3,Y,60,30,N,N,N
00026356,11,2026,1664325,00597018060,3,Y,60,30,N,N,N
00026356,11,2026,1602115,00597018230,3,Y,30,30,N,N,N
00026356,11,2026,1546083,00597019261,3,Y,4,28,N,N,N
00026356,11,2026,1796091,00597027073,3,Y,60,30,N,N,N
00026356,11,2026,1796096,00597027533,3,Y,30,30,N,N,N
00026356,11,2026,1862688,00597028073,3,Y,30,30,N,N,N
00026356,11,2026,1862701,00597029074,3,Y,60,30,N,N,N
00026356,11,2026,1862697,00597029588,3,Y,30,30,N,N,N
00026356,11,2026,1862692,00597030045,3,Y,60,30,N,N,N
00026356,11,2026,2640889,00597037082,5,N, , ,Y,N,N
00026356,11,2026,2640898,00597037597,5,N, , ,Y,N,N
00026356,11,2026,2359285,00597038013,3,Y,30,30,N,N,N
00026356,11,2026,2359290,00597038577,3,Y,60,30,N,N,N
00026356,11,2026,2359353,00597039071,3,Y,30,30,N,N,N
00026356,11,2026,2359358,00597039582,3,Y,60,30,N,N,N
00026356,11,2026,2640892,00597040089,5,N, , ,Y,N,N
00026356,11,2026,2640894,00597040580,5,N, , ,Y,N,N
00026356,11,2026,2680746,00597048520,5,N, , ,Y,N,N
00026356,11,2026,2680750,00597049550,5,N, , ,Y,N,N
00026356,11,2026,2721615,00597925786,5,Y,90,30,Y,N,N
00026356,11,2026,991082,00603116158,2,N, , ,N,N,N
00026356,11,2026,762675,00603459315,1,N, , ,N,N,N
00026356,11,2026,198078,00603506221,2,N, , ,N,N,N
00026356,11,2026,763181,00603533715,2,N, , ,N,N,N
00026356,11,2026,763179,00603533731,2,N, , ,N,N,N
00026356,11,2026,763185,00603533815,2,N, , ,N,N,N
00026356,11,2026,763183,00603533831,2,N, , ,N,N,N
00026356,11,2026,856448,00603548232,2,N, , ,N,N,N
00026356,11,2026,856457,00603548332,2,N, , ,N,N,N
00026356,11,2026,856519,00603548421,2,N, , ,N,N,N
00026356,11,2026,856578,00603548628,2,N, , ,N,N,N
00026356,11,2026,1659598,00641611710,2,N, , ,N,N,N
00026356,11,2026,312068,00641617410,4,N, , ,N,N,N
00026356,11,2026,314152,00641617701,4,N, , ,N,N,N
00026356,11,2026,198159,00713013512,2,N, , ,N,N,N
00026356,11,2026,1191302,00713022315,2,N, , ,N,N,N
00026356,11,2026,1191256,00713022415,2,N, , ,N,N,N
00026356,11,2026,308865,00713031853,2,Y,120,30,N,N,N
00026356,11,2026,197407,00713032637,2,N, , ,N,N,N
00026356,11,2026,197409,00713032737,2,N, , ,N,N,N
00026356,11,2026,562847,00713035281,5,N, , ,Y,N,N
00026356,11,2026,992459,00713052612,2,N, , ,Y,N,N
00026356,11,2026,1114466,00713056431,2,Y,30,30,N,N,N
00026356,11,2026,310465,00713068215,2,Y,120,30,N,N,N
00026356,11,2026,197735,00713068315,2,Y,90,30,N,N,N
00026356,11,2026,1191315,00713070915,2,N, , ,N,N,N
00026356,11,2026,308047,00781106110,1,Y,120,30,N,N,N
00026356,11,2026,308048,00781107710,1,Y,120,30,N,N,N
00026356,11,2026,197321,00781107905,1,Y,120,30,N,N,N
00026356,11,2026,197322,00781108901,1,Y,150,30,N,N,N
00026356,11,2026,562251,00781187431,2,N, , ,N,N,N
00026356,11,2026,313190,00781210201,2,N, , ,Y,N,N
00026356,11,2026,198377,00781210301,2,N, , ,Y,N,N
00026356,11,2026,198378,00781210401,2,N, , ,Y,N,N
00026356,11,2026,308212,00781214501,2,N, , ,N,N,N
00026356,11,2026,1592279,00781215832,5,Y,270,30,Y,N,N
00026356,11,2026,403811,00781232368,2,Y,2,28,Y,N,N
00026356,11,2026,308191,00781261305,1,N, , ,N,N,N
00026356,11,2026,199119,00781285931,1,N, , ,N,N,N
00026356,11,2026,309092,00781320695,2,N, , ,N,N,N
00026356,11,2026,1654630,00781323434,5,Y,30,30,Y,N,N
00026356,11,2026,854235,00781324664,2,Y,24,30,N,N,N
00026356,11,2026,2000007,00781325089,5,Y,12,28,Y,N,N
00026356,11,2026,1361615,00781354525,2,N, , ,N,N,N
00026356,11,2026,545835,00781400332,2,N, , ,Y,N,N
00026356,11,2026,991332,00781402753,2,N, , ,N,N,N
00026356,11,2026,991053,00781402822,2,N, , ,N,N,N
